*WYGENEROWANY SYGNAL
*PARAMETRY
@amplituda:	10.000000
@czestotliwosc sygnalu:	1.000000
@przesuniecie fazowe:	0.000000
@czestotliwosc probkowania:	1000.000000
@czas sygnalu:	1.000000
:1	 :0.000000
:2	 :0.062831
:3	 :0.125660
:4	 :0.188484
:5	 :0.251301
:6	 :0.314108
:7	 :0.376902
*w dowolnym miejscu mozna dodawac komentarze
:8	 :0.439681
:9	 :0.502443
:10	 :0.565185
:11	 :0.627905
:12	 :0.690600
:13	 :0.753268
:14	 :0.815906
*tutaj tez mozna dodac :)
:15	 :0.878512
:16	 :0.941083
:17	 :1.003617
:18	 :1.066112
:19	 :1.128564
:20	 :1.190972
:21	 :1.253332
:22	 :1.315644
:23	 :1.377903
:24	 :1.440108
:25	 :1.502256
:26	 :1.564345
:27	 :1.626372
:28	 :1.688334
:29	 :1.750231
:30	 :1.812058
:31	 :1.873813
:32	 :1.935495
:33	 :1.997100
:34	 :2.058626
:35	 :2.120071
:36	 :2.181432
:37	 :2.242708
:38	 :2.303894
:39	 :2.364990
:40	 :2.425992
:41	 :2.486899
:42	 :2.547707
:43	 :2.608415
:44	 :2.669020
:45	 :2.729519
:46	 :2.789911
:47	 :2.850193
:48	 :2.910362
:49	 :2.970416
:50	 :3.030353
:51	 :3.090170
:52	 :3.149865
:53	 :3.209436
:54	 :3.268880
:55	 :3.328195
:56	 :3.387379
:57	 :3.446429
:58	 :3.505343
:59	 :3.564119
:60	 :3.622754
:61	 :3.681246
:62	 :3.739592
:63	 :3.797791
:64	 :3.855840
:65	 :3.913737
:66	 :3.971479
:67	 :4.029064
:68	 :4.086491
:69	 :4.143756
:70	 :4.200857
:71	 :4.257793
:72	 :4.314560
:73	 :4.371158
:74	 :4.427582
:75	 :4.483832
:76	 :4.539905
:77	 :4.595799
:78	 :4.651511
:79	 :4.707039
:80	 :4.762382
:81	 :4.817537
:82	 :4.872501
:83	 :4.927273
:84	 :4.981851
:85	 :5.036232
:86	 :5.090414
:87	 :5.144395
:88	 :5.198173
:89	 :5.251746
:90	 :5.305112
:91	 :5.358268
:92	 :5.411213
:93	 :5.463943
:94	 :5.516459
:95	 :5.568756
:96	 :5.620834
:97	 :5.672689
:98	 :5.724321
:99	 :5.775727
:100	 :5.826905
:101	 :5.877853
:102	 :5.928568
:103	 :5.979050
:104	 :6.029295
:105	 :6.079303
:106	 :6.129071
:107	 :6.178596
:108	 :6.227878
:109	 :6.276914
:110	 :6.325702
:111	 :6.374240
:112	 :6.422527
:113	 :6.470560
:114	 :6.518337
:115	 :6.565858
:116	 :6.613119
:117	 :6.660119
:118	 :6.706856
:119	 :6.753328
:120	 :6.799534
:121	 :6.845471
:122	 :6.891138
:123	 :6.936533
:124	 :6.981654
:125	 :7.026500
:126	 :7.071068
:127	 :7.115357
:128	 :7.159365
:129	 :7.203090
:130	 :7.246531
:131	 :7.289686
:132	 :7.332553
:133	 :7.375131
:134	 :7.417418
:135	 :7.459411
:136	 :7.501111
:137	 :7.542514
:138	 :7.583619
:139	 :7.624425
:140	 :7.664930
:141	 :7.705132
:142	 :7.745031
:143	 :7.784623
:144	 :7.823908
:145	 :7.862884
:146	 :7.901550
:147	 :7.939904
:148	 :7.977944
:149	 :8.015670
:150	 :8.053079
:151	 :8.090170
:152	 :8.126942
:153	 :8.163393
:154	 :8.199521
:155	 :8.235326
:156	 :8.270806
:157	 :8.305959
:158	 :8.340784
:159	 :8.375280
:160	 :8.409446
:161	 :8.443279
:162	 :8.476779
:163	 :8.509945
:164	 :8.542774
:165	 :8.575267
:166	 :8.607420
:167	 :8.639234
:168	 :8.670707
:169	 :8.701838
:170	 :8.732625
:171	 :8.763067
:172	 :8.793163
:173	 :8.822912
:174	 :8.852313
:175	 :8.881364
:176	 :8.910065
:177	 :8.938414
:178	 :8.966410
:179	 :8.994053
:180	 :9.021340
:181	 :9.048271
:182	 :9.074844
:183	 :9.101060
:184	 :9.126916
:185	 :9.152412
:186	 :9.177546
:187	 :9.202318
:188	 :9.226727
:189	 :9.250772
:190	 :9.274452
:191	 :9.297765
:192	 :9.320711
:193	 :9.343289
:194	 :9.365499
:195	 :9.387339
:196	 :9.408808
:197	 :9.429905
:198	 :9.450631
:199	 :9.470983
:200	 :9.490961
:201	 :9.510565
:202	 :9.529793
:203	 :9.548645
