*WYGENEROWANY SYGNAL
*PARAMETRY
@amplituda:	15.000000
@czestotliwosc sygnalu:	1.000000
@przesuniecie fazowe:	0.000000
@czestotliwosc probkowania:	1000.000000
@czas sygnalu:	1.000000
:1	:-0.024000
:2	 :1.195247
:3	 :0.263491
:4	:-0.920273
:5	:-0.754049
:6	:-0.434839
:7	 :1.846353
:8	:-0.570478
:9	 :0.387665
:10	:-0.493222
:11	 :0.626858
:12	 :2.073900
:13	:-0.310098
:14	 :1.484859
:15	 :1.992768
:16	 :1.591625
:17	 :2.291426
:18	 :1.461167
:19	 :2.472846
:20	 :2.905457
:21	 :1.216999
:22	 :1.373465
:23	 :2.036854
:24	 :1.437162
:25	 :1.218384
:26	 :1.737517
:27	 :3.300557
:28	 :2.079502
:29	 :2.004346
:30	 :2.412086
:31	 :2.972720
:32	 :2.897242
:33	 :2.956650
:34	 :4.239939
:35	 :2.307107
:36	 :3.848149
:37	 :3.775061
:38	 :3.902841
:39	 :3.400485
:40	 :5.126988
:41	 :3.688348
:42	 :3.935561
:43	 :5.274623
:44	 :2.929530
:45	 :3.023279
:46	 :4.250867
:47	 :3.294289
:48	 :4.578543
:49	 :4.551624
:50	 :3.795529
:51	 :4.605255
:52	 :4.925798
:53	 :5.402154
:54	 :5.833320
:55	 :6.012293
:56	 :4.724069
:57	 :4.119644
:58	 :4.376015
:59	 :6.489178
:60	 :6.907131
:61	 :4.624868
:62	 :6.545388
:63	 :6.014686
:64	 :6.233760
:65	 :5.957605
:66	 :7.040218
:67	 :5.515597
:68	 :4.800736
:69	 :7.544634
:70	 :5.962286
:71	 :6.653689
:72	 :5.766841
:73	 :7.972736
:74	 :5.723373
:75	 :6.407748
:76	 :8.252857
:77	 :7.424698
:78	 :5.744266
:79	 :6.877559
:80	 :6.108573
:81	 :6.137305
:82	 :7.329752
:83	 :7.999910
:84	 :8.894777
:85	 :7.053348
:86	 :8.778621
:87	 :8.982593
:88	 :9.048260
:89	 :7.529619
:90	 :8.167668
:91	 :9.381402
:92	 :9.388819
:93	 :8.048915
:94	 :9.552688
:95	 :8.197134
:96	 :8.809251
:97	 :8.317034
:98	 :7.323482
:99	 :9.218591
:100	 :10.057357
:101	 :8.021779
:102	 :9.075852
:103	 :8.617575
:104	 :9.268943
:105	 :8.275954
:106	 :9.481606
:107	 :7.866894
:108	 :9.194817
:109	 :10.738370
:110	 :10.244552
:111	 :10.851360
:112	 :9.879790
:113	 :11.067839
:114	 :9.141506
:115	 :9.806786
:116	 :9.181678
:117	 :9.594178
:118	 :11.395284
:119	 :10.738992
:120	 :9.863301
:121	 :10.709207
:122	 :10.843707
:123	 :11.094800
:124	 :10.691481
:125	 :9.627750
:126	 :9.403602
:127	 :11.570035
:128	 :12.005047
:129	 :11.122635
:130	 :11.655797
:131	 :12.086529
:132	 :11.547830
:133	 :12.271697
:134	 :11.372127
:135	 :12.572117
:136	 :10.831666
:137	 :11.097771
:138	 :10.670429
:139	 :10.059638
:140	 :10.021395
:141	 :12.340699
:142	 :10.591546
:143	 :11.517935
:144	 :10.562862
:145	 :12.427326
:146	 :13.070325
:147	 :11.126856
:148	 :11.663917
:149	 :11.264505
:150	 :12.655618
:151	 :10.872255
:152	 :13.186412
:153	 :13.301089
:154	 :12.977282
:155	 :11.011989
:156	 :13.570209
:157	 :13.754938
:158	 :12.247177
:159	 :11.983921
:160	 :11.867169
:161	 :11.449919
:162	 :11.926169
:163	 :12.347917
:164	 :12.703161
:165	 :11.806900
:166	 :12.659130
:167	 :12.109851
:168	 :14.392061
:169	 :12.221756
:170	 :12.681937
:171	 :14.335600
:172	 :13.813745
:173	 :13.123368
:174	 :13.539470
:175	 :13.274047
:176	 :13.185098
:177	 :14.067621
:178	 :12.669616
:179	 :12.405079
:180	 :14.339009
:181	 :12.324406
:182	 :12.997266
:183	 :12.469590
:184	 :13.495374
:185	 :12.321618
:186	 :12.476319
:187	 :13.854478
:188	 :13.129091
:189	 :14.137158
:190	 :15.315677
:191	 :13.394647
:192	 :13.402067
:193	 :14.845934
:194	 :13.964248
:195	 :13.577008
:196	 :12.784212
:197	 :14.447858
:198	 :14.928946
:199	 :14.725475
:200	 :14.869442
:201	 :12.897848
:202	 :14.147690
:203	 :14.700968
:204	 :14.863681
:205	 :13.213827
:206	 :13.720405
:207	 :14.331415
